Destination_Port,Flow_Duration,Total_Fwd_Packets,Total_Backward_Packets,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Fwd_Packet_Length_Mean,Fwd_Packet_Length_Std,Bwd_Packet_Length_Max,Bwd_Packet_Length_Min,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_Bytes/s,Flow_Packets/s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Length,Bwd_Header_Length,Fwd_Packets/s,Bwd_Packets/s,Min_Packet_Length,Max_Packet_Length,Packet_Length_Mean,Packet_Length_Std,Packet_Length_Variance,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,PSH_Flag_Count,ACK_Flag_Count,URG_Flag_Count,CWE_Flag_Count,ECE_Flag_Count,Down/Up_Ratio,Average_Packet_Size,Avg_Fwd_Segment_Size,Avg_Bwd_Segment_Size,Fwd_Avg_Bytes/Bulk,Fwd_Avg_Packets/Bulk,Fwd_Avg_Bulk_Rate,Bwd_Avg_Bytes/Bulk,Bwd_Avg_Packets/Bulk,Bwd_Avg_Bulk_Rate,Subflow_Fwd_Packets,Subflow_Fwd_Bytes,Subflow_Bwd_Packets,Subflow_Bwd_Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Label
53,572,1,1,53,107,53,53,53,0,107,107,107,0,279720.2797,3496.503497,572,0,572,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,1748.251748,1748.251748,53,107,71,31.17691454,972,0,0,0,0,0,0,0,0,1,106.5,53,107,0,0,0,0,0,0,1,53,1,107,-1,-1,0,40,0,0,0,0,0,0,0,0,BENIGN
443,1,2,0,12,0,6,6,6,0,0,0,0,0,12000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,6,6,6,0,0,1,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,2,12,0,0,0,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
389,183476,15,10,4134,1032,1660,0,275.6,566.7928319,210,0,103.2,89.32188981,28156.27112,136.2576032,7644.833333,27114.4141,121109,1,183476,13105.42857,34999.59488,121109,1,1893,210.3333333,277.0906891,778,3,0,0,0,0,324,224,81.7545619,54.50304127,0,1660,198.6923077,437.6643252,191550.0615,0,0,0,1,0,0,0,0,0,206.64,275.6,103.2,0,0,0,0,0,0,15,4134,10,1032,8192,2051,13,20,0,0,0,0,0,0,0,0,BENIGN
53,54165,2,2,74,106,37,37,37,0,53,53,53,0,3323.1791747438,73.8484261054,18055,31228.0181407658,54114,3,48,48,0,48,48,3,3,0,3,3,0,0,0,0,64,64,36.9242130527,36.9242130527,37,53,43.4,8.7635609201,76.8,0,0,0,0,0,0,0,0,1,54.25,37,53,0,0,0,0,0,0,2,74,2,106,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
443,2841527,10,9,747,5821,393,0,74.7,129.7879039,1460,0,646.7777778,651.4128449,2311.433254,6.68654565,157862.6111,604124.0232,2577064,49,2841527,315725.2222,848626.9701,2577147,180,2790562,348820.25,910979.6758,2602031,49,0,0,0,0,212,192,3.519234552,3.167311097,0,1460,328.4,523.655009,274214.5684,0,0,0,1,0,0,0,0,0,345.6842105,74.7,646.7777778,0,0,0,0,0,0,10,747,9,5821,8192,79,9,20,0,0,0,0,0,0,0,0,BENIGN
53,216,2,2,66,98,33,33,33,0,49,49,49,0,759259.2593,18518.51852,72,83.62415919,165,3,48,48,0,48,48,3,3,0,3,3,0,0,0,0,80,80,9259.259259,9259.259259,33,49,39.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,49.25,33,49,0,0,0,0,0,0,2,66,2,98,-1,-1,1,40,0,0,0,0,0,0,0,0,BENIGN
53600,99,1,1,6,6,6,6,6,0,6,6,6,0,121212.121212121,20202.0202020202,99,0,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10101.0101010101,10101.0101010101,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,0,0,0,0,0,0,1,6,1,6,348,256,0,20,0,0,0,0,0,0,0,0,BENIGN
53,177,2,2,94,350,47,47,47,0,175,175,175,0,2508474.576,22598.87006,59,96.13012015,170,3,4,4,0,4,4,3,3,0,3,3,0,0,0,0,40,40,11299.43503,11299.43503,47,175,98.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,122.75,47,175,0,0,0,0,0,0,2,94,2,350,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
53,31807,2,2,58,90,29,29,29,0,45,45,45,0,4653.0637909894,125.7584808376,10602.3333333333,18321.3598385418,31758,1,1,1,0,1,1,48,48,0,48,48,0,0,0,0,64,64,62.8792404188,62.8792404188,29,45,35.4,8.7635609201,76.8,0,0,0,0,0,0,0,0,1,44.25,29,45,0,0,0,0,0,0,2,58,2,90,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
8367,3,2,0,0,0,0,0,0,0,0,0,0,0,0,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.6667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,23948,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
53,261,2,2,90,522,45,45,45,0,261,261,261,0,2344827.586,15325.6705,87,108.1295519,209,3,3,3,0,3,3,49,49,0,49,49,0,0,0,0,40,40,7662.835249,7662.835249,45,261,131.4,118.3080724,13996.8,0,0,0,0,0,0,0,0,1,164.25,45,261,0,0,0,0,0,0,2,90,2,522,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
53,40894,4,4,108,332,27,27,27,0,83,83,83,0,10759.52462,195.6277204,5842,12259.27252,32852,3,40739,13579.66667,23515.47646,40733,3,8039,2679.666667,4558.180485,7943,47,0,0,0,0,80,80,97.81386022,97.81386022,27,83,51.88888889,29.51459149,871.1111111,0,0,0,0,0,0,0,0,1,58.375,27,83,0,0,0,0,0,0,4,108,4,332,-1,-1,3,20,0,0,0,0,0,0,0,0,BENIGN
38606,66,1,1,0,0,0,0,0,0,0,0,0,0,0,30303.0303030303,66,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,15151.5151515152,15151.5151515152,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,227,229,0,32,0,0,0,0,0,0,0,0,BENIGN
